Tarih,Anket şirketi,Örneklem,AKP,CHP,İYİ,HDP,MHP,DEVA,GP,SP,ZP,YRP,BTP,TDP,MP,TİP,Diğer,Fark
Tarih,Anket şirketi,Örneklem,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Diğer,Fark
7-10 Mar,ADA,3.121,402,242,72,96,71,06,–,04,08,20,–,–,46,19,14,160
6-9 Mar,İEA,2.000,354,274,103,102,59,07,–,03,11,13,–,–,56,15,04,80
8 Mar,Aksoy[a 5],1.537,310,284,120,103,72,14,09,14,–,–,–,–,–,11,63,26
6-7 Mar,ALF,1.770,310,318,89,113,65,15,13,–,16,19,–,–,22,–,20,08
6 Mart 2023,6 Mart 2023,6 Mart 2023,Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16],Millet İttifakı'nın cumhurbaşkanı adayı Kemal Kılıçdaroğlu oldu.[16]
23-27 Şub,Areda Survey[a 2],3.000,385,228,104,105,101,09,04,06,14,16,–,01,11,04,12,157
22-27 Şub,ORC,4.720,291,235,195,81,54,23,25,–,20,10,–,18,13,–,35,56
23-26 Şub,Aksoy[a 5],1.537,321,273,136,120,68,09,07,08,–,–,–,–,–,–,58,48
21-25 Şub,ALF,2.000,295,278,157,98,56,18,15,–,25,16,–,–,22,–,20,17
19-23 Şub,Optimar[a 1],2.000,400,257,101,96,71,08,04,12,05,12,–,–,17,–,17,143
18-20 Şub,TEAM,1.930,375,245,116,111,66,–,–,–,–,–,–,–,–,–,88,130
16-20 Şub,İEA,2.000,337,258,139,112,68,13,07,–,19,13,–,–,15,14,05,79
6 Şubat 2023,6 Şubat 2023,6 Şubat 2023,"Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti.","Ülkenin güneyinde 7,8 ve 7,5 Mw büyüklüğünde iki şiddetli deprem gerçekleşti."
27 Oca–2 Şub,Avrasya[a 3],2.460,321,315,128,99,51,35,–,–,14,12,–,–,–,–,25,06
23-26 Oca,ORC,4.580,302,231,193,76,55,26,27,–,18,–,14,23,–,–,35,71
18-24 Oca,ALF,2.000,310,261,158,86,61,24,27,–,18,–,–,22,14,–,19,49
14-24 Oca,ASAL,2.520,392,238,123,101,75,–,–,–,–,–,–,–,–,–,71,154
13-16 Oca,ORC,3.920,315,255,193,80,65,23,28,–,14,–,–,–,–,–,27,60
11-14 Oca,TEAM,2.524,375,260,117,111,65,–,–,–,–,–,–,–,–,–,73,115
6-13 Oca,Areda Survey[a 2],4.900,408,226,99,102,103,08,01,08,08,13,–,–,06,04,13,182
7-9 Oca,Piar,2.611,312,251,143,112,63,11,38,–,16,–,19,–,–,–,35,61
3-8 Oca,Avrasya[a 3],2.612,295,311,138,112,56,35,–,–,17,12,–,–,–,–,24,16
1-7 Oca,MAK,5.750,343,250,156,84,63,25,12,09,10,13,12,01,02,–,20,93
2-5 Oca,ORC,3.780,320,235,191,73,62,25,29,–,–,–,18,22,–,–,25,85
23 Ara–2 Oca,Sosyo Politik,1.582,332,285,133,131,65,29,07,08,04,–,–,–,–,06,–,47
27 Ara–1 Oca,Optimar[a 1],2.001,411,236,81,98,80,11,09,10,23,07,–,05,12,–,17,175
Ocak,Aksoy[a 5],1.537,333,255,146,111,77,12,02,11,–,–,–,–,–,–,52,78
24 Haziran 2018,Genel seçimler,50.137.175,4256,2265,996,1170,1110,–,–,134,–,–,–,–,–,–,069,1991
