Tarih,Sıra,AKP,CHP,İYİ,HDP,MHP,DEVA,GP,SP,ZP,YRP,BTP,TDP,MP,TİP,Diğer,Fark,Toplam
24 Haziran 2018,1,4256,2265,996,1170,1110,0,0,134,0,0,0,0,0,0,69,1991,11991
Ocak,2,333,255,146,111,77,12,2,11,0,0,0,0,0,0,52,78,1077
27 Ara–1 Oca,3,411,236,81,98,80,11,9,10,23,7,0,5,12,0,17,175,1175
23 Ara–2 Oca,4,332,285,133,131,65,29,7,8,4,0,0,0,0,6,0,47,1047
2-5 Oca,5,320,235,191,73,62,25,29,0,0,0,18,22,0,0,25,85,1085
1-7 Oca,6,343,250,156,84,63,25,12,9,10,13,12,1,2,0,20,93,1093
3-8 Oca,7,295,311,138,112,56,35,0,0,17,12,0,0,0,0,24,16,1016
7-9 Oca,8,312,251,143,112,63,11,38,0,16,0,19,0,0,0,35,61,1061
6-13 Oca,9,408,226,99,102,103,8,1,8,8,13,0,0,6,4,13,182,1181
11-14 Oca,10,375,260,117,111,65,0,0,0,0,0,0,0,0,0,73,115,1116
13-16 Oca,11,315,255,193,80,65,23,28,0,14,0,0,0,0,0,27,60,1060
14-24 Oca,12,392,238,123,101,75,0,0,0,0,0,0,0,0,0,71,154,1154
18-24 Oca,13,310,261,158,86,61,24,27,0,18,0,0,22,14,0,19,49,1049
23-26 Oca,14,302,231,193,76,55,26,0,0,18,0,14,23,0,0,35,71,1044
27 Oca–2 Şub,15,321,315,128,99,51,35,0,0,14,12,0,0,0,0,25,6,1006
16-20 Şub,16,337,258,139,112,68,13,7,0,19,13,0,0,15,14,5,79,1079
18-20 Şub,17,375,245,116,111,66,0,0,0,0,0,0,0,0,0,88,130,1131
19-23 Şub,18,400,257,101,96,71,8,4,12,5,12,0,0,17,0,17,143,1143
21-25 Şub,19,295,278,157,98,56,18,15,0,25,16,0,0,22,0,20,17,1017
23-26 Şub,20,321,273,136,120,68,9,7,8,0,0,0,0,0,0,58,48,1048
22-27 Şub,21,291,235,195,81,54,23,25,0,20,10,0,18,13,0,35,56,1056
23-27 Şub,22,385,228,104,105,101,9,4,6,14,16,0,1,11,4,12,157,1157
6-7 Mar,23,310,318,89,113,65,15,13,0,16,19,0,0,22,0,20,8,1008
8 Mar,24,310,284,120,103,72,14,9,14,0,0,0,0,0,11,63,26,1026
6-9 Mar,25,354,274,103,102,59,7,0,3,11,13,0,0,56,15,4,80,1081
7-10 Mar,26,402,242,72,96,71,6,0,4,8,20,0,0,46,19,14,160,1160
