Date,Sort,AKP_per,CHP_per,İYİ_per,HDP_per,MHP_per,DEVA_per,GP_per,SP_per,ZP_per,YRP_per,BTP_per,TDP_per,MP_per,TİP_per,Others,Dif
24 Haziran 2018,1,35.49,18.89,8.31,9.76,9.26,0,0,1.12,0,0,0,0,0,0,0.58,16.6
Ocak,2,30.92,23.68,13.56,10.31,7.15,1.11,0.19,1.02,0,0,0,0,0,0,4.83,7.24
27 Ara–1 Oca,3,34.98,20.09,6.89,8.34,6.81,0.94,0.77,0.85,1.96,0,0,0.43,1.02,0,1.45,14.89
23 Ara–2 Oca,4,31.71,27.22,12.7,12.51,6.21,2.77,0.67,0.76,0.38,0,0,0,0,0.57,0,4.49
2-5 Oca,5,29.49,21.66,17.6,6.73,5.71,2.3,2.67,0,0,1.66,1.66,2.03,0,0,2.3,7.83
1-7 Oca,6,31.38,22.87,14.27,7.69,5.76,2.29,1.1,0.82,0.91,1.1,1.1,0.09,0.18,0,1.83,8.51
3-8 Oca,7,29.04,30.61,13.58,11.02,5.51,3.44,0,0,1.67,0,0,0,0,0,2.36,1.57
7-9 Oca,8,29.41,23.66,13.48,10.56,5.94,1.04,3.58,0,1.51,1.79,1.79,0,0,0,3.3,5.75
6-13 Oca,9,34.55,19.14,8.38,8.64,8.72,0.68,0.08,0.68,0.68,0,0,0,0.51,0.34,1.1,15.41
11-14 Oca,10,33.6,23.3,10.48,9.95,5.82,0,0,0,0,0,0,0,0,0,6.54,10.3
13-16 Oca,11,29.72,24.06,18.21,7.55,6.13,2.17,2.64,0,1.32,0,0,0,0,0,2.55,5.66
14-24 Oca,12,33.97,20.62,10.66,8.75,6.5,0,0,0,0,0,0,0,0,0,6.15,13.34
18-24 Oca,13,29.55,24.88,15.06,8.2,5.82,2.29,2.57,0,1.72,0,0,2.1,1.33,0,1.81,4.67
23-26 Oca,14,28.93,22.13,18.49,7.28,5.27,2.49,0,0,1.72,1.34,1.34,2.2,0,0,3.35,6.8
27 Oca–2 Şub,15,31.91,31.31,12.72,9.84,5.07,3.48,0,0,1.39,0,0,0,0,0,2.49,0.6
16-20 Şub,16,31.23,23.91,12.88,10.38,6.3,1.2,0.65,0,1.76,0,0,0,1.39,1.3,0.46,7.32
18-20 Şub,17,33.16,21.66,10.26,9.81,5.84,0,0,0,0,0,0,0,0,0,7.78,11.49
19-23 Şub,18,35,22.48,8.84,8.4,6.21,0.7,0.35,1.05,0.44,0,0,0,1.49,0,1.49,12.51
21-25 Şub,19,29.01,27.34,15.44,9.64,5.51,1.77,1.47,0,2.46,0,0,0,2.16,0,1.97,1.67
23-26 Şub,20,30.63,26.05,12.98,11.45,6.49,0.86,0.67,0.76,0,0,0,0,0,0,5.53,4.58
22-27 Şub,21,27.56,22.25,18.47,7.67,5.11,2.18,2.37,0,1.89,0,0,1.7,1.23,0,3.31,5.3
23-27 Şub,22,33.28,19.71,8.99,9.08,8.73,0.78,0.35,0.52,1.21,0,0,0.09,0.95,0.35,1.04,13.57
6-7 Mar,23,30.75,31.55,8.83,11.21,6.45,1.49,1.29,0,1.59,0,0,0,2.18,0,1.98,0.79
8 Mar,24,30.21,27.68,11.7,10.04,7.02,1.36,0.88,1.36,0,0,0,0,0,1.07,6.14,2.53
6-9 Mar,25,32.75,25.35,9.53,9.44,5.46,0.65,0,0.28,1.02,0,0,0,5.18,1.39,0.37,7.4
7-10 Mar,26,34.66,20.86,6.21,8.28,6.12,0.52,0,0.34,0.69,0,0,0,3.97,1.64,1.21,13.79
